iter	Logloss
0	0.6637272304
1	0.6368051481
2	0.6109813873
3	0.5879591479
4	0.5663719124
5	0.5471070932
6	0.5304005326
7	0.5153778564
8	0.5006907528
9	0.4866595941
10	0.4736509093
11	0.4619912225
12	0.4513457371
13	0.4415212137
14	0.4324914672
15	0.4242903442
16	0.4171726143
17	0.4104810477
18	0.4041275417
19	0.3980458558
20	0.392359561
21	0.386669062
22	0.3817369866
23	0.3769336068
24	0.3722630251
25	0.3683411526
26	0.3642842792
27	0.3605861134
28	0.3572335907
29	0.3540577662
30	0.351706556
31	0.3497164887
32	0.3467021763
33	0.3443703286
34	0.3419338961
35	0.3390642322
36	0.336780991
37	0.3347175712
38	0.3337775796
39	0.3315077754
40	0.3299381007
41	0.3281549024
42	0.326694779
43	0.324676665
44	0.3233014647
45	0.3214808003
46	0.3203691869
47	0.319405017
48	0.317922095
49	0.3166119575
50	0.3154692656
51	0.3141563569
52	0.3132447721
53	0.312348771
54	0.3111960379
55	0.3100864098
56	0.3091068061
57	0.3084514379
58	0.3076589548
59	0.3067104167
60	0.3060420247
61	0.305206747
62	0.3046265902
63	0.3037057426
64	0.3030299988
65	0.3025228198
66	0.3018792236
67	0.3013430428
68	0.3006265868
69	0.299962061
70	0.2992510903
71	0.2985681354
72	0.2979501248
73	0.2969845216
74	0.2963840791
75	0.2959211927
76	0.2954132611
77	0.2947447098
78	0.2942641308
79	0.2935724427
80	0.2930421355
81	0.2925379361
82	0.2918862999
83	0.2910251563
84	0.290633761
85	0.2902501546
86	0.2893458142
87	0.2888673041
88	0.2884954612
89	0.2876777852
90	0.2872635247
91	0.2868785518
92	0.2863119101
93	0.285939624
94	0.2855575793
95	0.2849900212
96	0.2845406809
97	0.2842984109
98	0.2839147329
99	0.2834558411
100	0.2830913775
101	0.2827952151
102	0.2823533263
103	0.2819078842
104	0.2811905328
105	0.2806881014
106	0.2801865427
107	0.2797680596
108	0.2794428922
109	0.2791044876
110	0.2788207542
111	0.2784019138
112	0.2778655194
113	0.2775794765
114	0.2771218767
115	0.2766167204
116	0.2763020611
117	0.2758706078
118	0.2756285344
119	0.2751097335
120	0.2748680928
121	0.2746248343
122	0.2743550076
123	0.2739263873
124	0.2736905272
125	0.2733878067
126	0.2730437471
127	0.2728115065
128	0.2722339751
129	0.2716888489
130	0.2712789144
131	0.2709196751
132	0.2704770493
133	0.2701634216
134	0.2696869917
135	0.2694321504
136	0.2689911534
137	0.2686399386
138	0.2682504072
139	0.267968665
140	0.2674930878
141	0.267267306
142	0.2668267779
143	0.2666023867
144	0.2661807761
145	0.2659020858
146	0.2656399696
147	0.265023437
148	0.2642460231
149	0.2640533825
150	0.2635800522
151	0.2633868639
152	0.2631700946
153	0.2628482168
154	0.2624782177
155	0.2621566617
156	0.2619473616
157	0.2616096626
158	0.2613566985
159	0.261084313
160	0.2608470082
161	0.26037524
162	0.2601515596
163	0.2599955658
164	0.2597606243
165	0.2596341359
166	0.259347974
167	0.2589846209
168	0.2586171761
169	0.2582023628
170	0.2580091255
171	0.2578475932
172	0.2575459808
173	0.2571253235
174	0.2568283497
175	0.2565816827
176	0.2563028458
177	0.2560374795
178	0.2556013759
179	0.255398497
180	0.2551047115
181	0.2549342011
182	0.2544443437
183	0.2542999777
184	0.2541169099
185	0.2539977639
186	0.2535824254
187	0.2533145686
188	0.2531053236
189	0.2526851523
190	0.2522147199
191	0.2519187508
192	0.2516775939
193	0.2514584865
194	0.2511659672
195	0.2509065934
196	0.2505430395
197	0.2503090627
198	0.2499186947
199	0.2496924149
200	0.2494293248
201	0.2492289918
202	0.2489622302
203	0.2487003294
204	0.2485293343
205	0.248157526
206	0.2478142376
207	0.247486916
208	0.2472161827
209	0.2469990817
210	0.2467668635
211	0.2463460647
212	0.2462089485
213	0.2460638418
214	0.2457517976
215	0.2453698692
216	0.2451636492
217	0.2449907476
218	0.2448219418
219	0.2446351878
220	0.2443265466
221	0.2441317189
222	0.2437362147
223	0.243585109
224	0.2433414859
225	0.2431006322
226	0.2428740235
227	0.2426756472
228	0.2423596586
229	0.2421156139
230	0.2419218533
231	0.2416958547
232	0.2415317113
233	0.2413398183
234	0.2411876289
235	0.2409062414
236	0.2406827647
237	0.2404782173
238	0.240363303
239	0.2401683011
240	0.2399895041
241	0.2398087025
242	0.2395453356
243	0.239259149
244	0.238977885
245	0.23875655
246	0.2385343974
247	0.2382272427
248	0.2379535085
249	0.2377307169
250	0.2373993773
251	0.2372524332
252	0.2370240134
253	0.2367933936
254	0.2366139207
255	0.2363885463
256	0.236277518
257	0.2361724294
258	0.235834101
259	0.2356096149
260	0.2354494714
261	0.2351202297
262	0.2348405488
263	0.2346506856
264	0.234491571
265	0.2342162239
266	0.2341222689
267	0.2337898699
268	0.2335888892
269	0.2333326066
270	0.2332159091
271	0.2330849505
272	0.2328934896
273	0.2327056549
274	0.2324966754
275	0.2323794905
276	0.2320204251
277	0.2318829928
278	0.2317393936
279	0.2315936926
280	0.2313280525
281	0.2310593755
282	0.2308774699
283	0.2306238327
284	0.2304273576
285	0.2303114376
286	0.2300409219
287	0.2299030683
288	0.2297733324
289	0.2295880099
290	0.2294136502
291	0.2292257643
292	0.2291110541
293	0.2289420371
294	0.2287882657
295	0.2285998002
296	0.2283954928
297	0.2282339432
298	0.2279808377
299	0.2278100379
300	0.227494214
301	0.2273346992
302	0.2271489223
303	0.2270352471
304	0.2268999976
305	0.22663263
306	0.2265238187
307	0.2261482979
308	0.2258657236
309	0.225642064
310	0.2254770352
311	0.2252768081
312	0.2251707588
313	0.225055274
314	0.2248963317
315	0.2247463237
316	0.2245420612
317	0.2243526803
318	0.2241532187
319	0.223868422
320	0.2237599933
321	0.2235278868
322	0.2233626205
323	0.2231868454
324	0.2228954914
325	0.2227312824
326	0.2224919434
327	0.2223008813
328	0.2221248841
329	0.2220181906
330	0.2219041287
331	0.2217792815
332	0.2215663129
333	0.2213648499
334	0.2211504614
335	0.2209478791
336	0.2208578068
337	0.2205720715
338	0.2204322374
339	0.220166518
340	0.2200340771
341	0.2199014555
342	0.2197433429
343	0.2195804316
344	0.2193886383
345	0.2192520015
346	0.2191166787
347	0.218810619
348	0.2186274551
349	0.218251201
350	0.2181448242
351	0.2179454462
352	0.2177584012
353	0.2175947927
354	0.2173637732
355	0.2172738768
356	0.2169876761
357	0.2167698215
358	0.2165867323
359	0.2164089902
360	0.2161207385
361	0.215955886
362	0.2157755991
363	0.2155510854
364	0.2151956201
365	0.215042645
366	0.2148607307
367	0.2147432206
368	0.2145929986
369	0.2144077343
370	0.2141514378
371	0.2138221375
372	0.2136346828
373	0.2134561414
374	0.2132789599
375	0.2131754987
376	0.2129461568
377	0.2128257292
378	0.2126841418
379	0.2124760649
380	0.2123452418
381	0.2122146866
382	0.211997499
383	0.2118342287
384	0.2116543885
385	0.211334286
386	0.2111493324
387	0.2110505869
388	0.2108417537
389	0.2106742133
390	0.2105107695
391	0.2103562948
392	0.2101130965
393	0.2100064337
394	0.2098469777
395	0.2096212182
396	0.2094558282
397	0.2093742697
398	0.2092648605
399	0.2091174141
400	0.2089526489
401	0.2087904117
402	0.2086207389
403	0.208501875
404	0.2083380886
405	0.2081912052
406	0.2080113301
407	0.2078755703
408	0.2075826894
409	0.2073977106
410	0.2072411256
411	0.2070783382
412	0.2068378765
413	0.206657819
414	0.2065490636
415	0.2064271694
416	0.2063272219
417	0.2062285483
418	0.2061312197
419	0.2060221423
420	0.2058467574
421	0.2057438129
422	0.2055325187
423	0.2053309044
424	0.2052087367
425	0.2051093128
426	0.2050094197
427	0.2047870719
428	0.2045891299
429	0.204438395
430	0.2042756965
431	0.204113583
432	0.2039443535
433	0.2036956734
434	0.2035849008
435	0.2033534775
436	0.2032141588
437	0.2030947956
438	0.2029556996
439	0.2026784962
440	0.2024640878
441	0.2023346002
442	0.2021425511
443	0.2019817568
444	0.2018099355
445	0.2015898533
446	0.2014937354
447	0.2013057968
448	0.2011084373
449	0.2009110268
450	0.2008274685
451	0.2006091409
452	0.200457876
453	0.2003155862
454	0.2002004511
455	0.200063167
456	0.1998892484
457	0.1998119542
458	0.1996800058
459	0.1995447921
460	0.1993311423
461	0.1992209979
462	0.1990785756
463	0.1989594736
464	0.19884738
465	0.198669094
466	0.1985606434
467	0.1984207241
468	0.1982997993
469	0.1981922825
470	0.1980805422
471	0.1979484006
472	0.1978208391
473	0.1976646788
474	0.1974875471
475	0.1973573604
476	0.1972729669
477	0.1971488112
478	0.1969959612
479	0.1968794578
480	0.196787019
481	0.1966422338
482	0.1965491444
483	0.196389485
484	0.196222413
485	0.1960656889
486	0.1959131068
487	0.1957184964
488	0.1955813871
489	0.1954645973
490	0.1953650994
491	0.1952795112
492	0.195180647
493	0.1950372176
494	0.1949409656
495	0.194787512
496	0.1946913578
497	0.1945466679
498	0.1944648786
499	0.1943004823
500	0.1941526245
501	0.1940083709
502	0.1939302049
503	0.1937972924
504	0.1936600338
505	0.1935995444
506	0.1935037319
507	0.1933789676
508	0.1932279117
509	0.1931028953
510	0.192989119
511	0.1927608465
512	0.1926890502
513	0.1926073616
514	0.192446068
515	0.192284782
516	0.192086248
517	0.1920130963
518	0.1918250737
519	0.1917521219
520	0.1916364296
521	0.1914833292
522	0.1913570761
523	0.1912692722
524	0.1911500648
525	0.1909781611
526	0.1907473589
527	0.1906325434
528	0.1904971623
529	0.1903522849
530	0.190224269
531	0.1901175943
532	0.1899881394
533	0.1898895891
