iter	Passed	Remaining
0	196	196033
1	214	107094
2	230	76637
3	246	61487
4	262	52227
5	278	46115
6	294	41761
7	310	38491
8	326	35932
9	344	34070
10	365	32821
11	383	31545
12	410	31144
13	433	30550
14	452	29695
15	469	28879
16	485	28073
17	501	27341
18	516	26674
19	543	26617
20	566	26412
21	598	26585
22	645	27430
23	699	28464
24	733	28622
25	758	28418
26	783	28230
27	808	28067
28	831	27840
29	853	27587
30	879	27498
31	900	27243
32	928	27196
33	951	27042
34	973	26841
35	994	26633
36	1012	26342
37	1028	26030
38	1043	25710
39	1060	25462
40	1083	25341
41	1099	25074
42	1122	24979
43	1147	24932
44	1169	24828
45	1199	24870
46	1240	25143
47	1335	26480
48	1413	27425
49	1479	28116
50	1572	29269
51	1679	30611
52	1720	30734
53	1799	31529
54	1822	31319
55	1846	31130
56	1878	31074
57	1903	30914
58	1930	30790
59	1952	30592
60	1979	30466
61	2000	30267
62	2026	30145
63	2050	29988
64	2076	29863
65	2097	29687
66	2121	29537
67	2150	29470
68	2176	29370
69	2200	29235
70	2229	29173
71	2264	29182
72	2296	29162
73	2323	29070
74	2350	28990
75	2380	28937
76	2406	28842
77	2428	28709
78	2450	28571
79	2477	28491
80	2500	28371
81	2527	28297
82	2552	28204
83	2570	28031
84	2592	27907
85	2609	27737
86	2628	27582
87	2645	27412
88	2664	27271
89	2680	27106
90	2703	27007
91	2719	26843
92	2736	26684
93	2751	26517
94	2766	26350
95	2784	26225
96	2799	26065
97	2814	25906
98	2829	25747
99	2844	25601
100	2860	25459
101	2875	25319
102	2893	25197
103	2909	25064
104	2923	24922
105	2942	24813
106	2958	24689
107	2976	24582
108	3003	24551
109	3023	24463
110	3051	24436
111	3070	24346
112	3104	24372
113	3152	24503
114	3198	24614
115	3256	24813
116	3316	25028
117	3349	25037
118	3390	25098
119	3434	25187
120	3479	25279
121	3513	25288
122	3547	25293
123	3574	25252
124	3604	25234
125	3634	25207
126	3658	25149
127	3686	25116
128	3709	25044
129	3736	25004
130	3764	24972
131	3789	24915
132	3822	24920
133	3845	24854
134	3866	24771
135	3882	24664
136	3899	24565
137	3917	24467
138	3933	24362
139	3948	24255
140	3964	24150
141	3980	24049
142	3996	23948
143	4013	23856
144	4031	23769
145	4049	23689
146	4068	23608
147	4089	23541
148	4112	23487
149	4131	23413
150	4151	23341
151	4182	23331
152	4202	23262
153	4225	23210
154	4243	23133
155	4262	23062
156	4281	22989
157	4301	22924
158	4325	22877
159	4342	22799
160	4360	22725
161	4380	22661
162	4400	22595
163	4421	22536
164	4440	22470
165	4458	22398
166	4476	22328
167	4495	22264
168	4515	22200
169	4536	22147
170	4558	22097
171	4576	22030
172	4595	21967
173	4614	21906
174	4635	21854
175	4653	21786
176	4672	21728
177	4692	21671
178	4711	21611
179	4732	21561
180	4751	21500
181	4770	21439
182	4789	21383
183	4807	21321
184	4827	21266
185	4843	21198
186	4859	21128
187	4876	21060
188	4891	20987
189	4906	20917
190	4922	20851
191	4939	20785
192	4957	20728
193	4973	20663
194	4989	20596
195	5004	20529
196	5020	20464
197	5037	20406
198	5053	20339
199	5067	20271
200	5083	20208
201	5098	20140
202	5113	20077
203	5131	20022
204	5146	19958
205	5162	19897
206	5177	19835
207	5193	19776
208	5209	19716
209	5227	19665
210	5243	19606
211	5259	19548
212	5274	19488
213	5290	19429
214	5306	19375
215	5322	19319
216	5340	19269
217	5358	19222
218	5374	19167
219	5390	19110
220	5406	19055
221	5421	19000
222	5438	18950
223	5453	18893
224	5469	18839
225	5485	18785
226	5501	18735
227	5517	18680
228	5534	18633
229	5557	18604
230	5580	18576
231	5604	18553
232	5625	18517
233	5650	18498
234	5671	18462
235	5691	18425
236	5713	18393
237	5734	18360
238	5762	18346
239	5780	18305
240	5802	18275
241	5828	18254
242	5847	18215
243	5869	18185
244	5886	18141
245	5910	18114
246	5924	18062
247	5940	18011
248	5958	17971
249	5973	17920
250	5987	17868
251	6002	17817
252	6020	17775
253	6036	17728
254	6054	17689
255	6069	17640
256	6084	17590
257	6099	17542
258	6115	17497
259	6131	17452
260	6156	17430
261	6173	17389
262	6189	17345
263	6204	17298
264	6219	17249
265	6234	17204
266	6249	17157
267	6268	17120
268	6283	17076
269	6300	17034
270	6317	16994
271	6333	16950
272	6348	16906
273	6367	16871
274	6382	16827
275	6398	16784
276	6414	16741
277	6429	16697
278	6445	16656
279	6463	16620
280	6479	16578
281	6495	16537
282	6510	16495
283	6526	16454
284	6542	16413
285	6563	16385
286	6579	16345
287	6598	16312
288	6615	16276
289	6636	16246
290	6655	16214
291	6674	16183
292	6693	16150
293	6713	16121
294	6732	16088
295	6751	16057
296	6771	16027
297	6789	15993
298	6808	15963
299	6827	15930
300	6846	15898
301	6874	15889
302	6893	15858
303	6912	15825
304	6930	15791
305	6950	15763
306	6972	15738
307	6991	15707
308	7010	15676
309	7029	15645
310	7048	15615
311	7066	15582
312	7087	15555
313	7106	15526
314	7126	15497
315	7145	15466
316	7164	15435
317	7181	15402
318	7201	15374
319	7221	15345
320	7240	15315
321	7258	15283
322	7277	15253
323	7299	15228
324	7318	15200
325	7337	15170
326	7356	15141
327	7380	15120
328	7400	15094
329	7416	15057
330	7432	15021
331	7447	14983
332	7463	14949
333	7479	14914
334	7496	14881
335	7513	14847
336	7528	14811
337	7543	14775
338	7559	14739
339	7574	14703
340	7589	14666
341	7607	14637
342	7622	14600
343	7637	14564
344	7653	14529
345	7668	14495
346	7684	14460
347	7702	14430
348	7717	14395
349	7733	14361
350	7748	14326
351	7762	14290
352	7782	14264
353	7807	14246
354	7825	14218
355	7841	14185
356	7857	14152
357	7873	14120
358	7890	14088
359	7913	14068
360	7935	14046
361	7958	14026
362	7981	14006
363	8006	13988
364	8026	13963
365	8046	13938
366	8067	13914
367	8087	13888
368	8110	13868
369	8129	13842
370	8148	13815
371	8170	13792
372	8198	13781
373	8223	13765
374	8245	13742
375	8265	13717
376	8285	13692
377	8301	13660
378	8321	13635
379	8339	13606
380	8355	13575
381	8372	13545
382	8387	13512
383	8404	13483
384	8422	13454
385	8439	13424
386	8456	13394
387	8471	13362
388	8487	13330
389	8503	13299
390	8520	13270
391	8536	13240
392	8552	13210
393	8569	13180
394	8584	13148
395	8602	13121
396	8620	13093
397	8636	13062
398	8651	13032
399	8667	13001
400	8682	12970
401	8698	12940
402	8714	12909
403	8731	12881
404	8748	12853
405	8764	12823
406	8780	12793
407	8795	12762
408	8811	12732
409	8827	12702
410	8845	12676
411	8860	12645
412	8876	12615
413	8890	12584
414	8904	12552
415	8921	12524
416	8939	12498
417	8961	12477
418	8982	12456
419	9009	12441
420	9028	12416
421	9047	12391
422	9066	12367
423	9083	12340
424	9102	12314
425	9123	12292
426	9145	12273
427	9164	12248
428	9183	12223
429	9202	12199
430	9222	12174
431	9241	12151
432	9264	12131
433	9284	12107
434	9303	12084
435	9324	12062
436	9346	12040
437	9367	12019
438	9393	12003
439	9417	11986
440	9438	11963
441	9459	11942
442	9477	11916
443	9496	11892
444	9515	11868
445	9536	11846
446	9556	11822
447	9577	11800
448	9597	11777
449	9616	11754
450	9636	11730
451	9655	11706
452	9677	11685
453	9696	11661
454	9717	11639
455	9737	11616
456	9755	11591
457	9772	11565
458	9789	11537
459	9811	11518
460	9827	11490
461	9843	11463
462	9861	11437
463	9876	11409
464	9897	11386
465	9914	11360
466	9935	11339
467	9959	11321
468	9979	11298
469	10002	11279
470	10023	11257
471	10042	11234
472	10070	11220
473	10092	11199
474	10121	11187
475	10170	11196
476	10197	11180
477	10226	11167
478	10271	11171
479	10313	11172
480	10352	11170
481	10383	11159
482	10414	11147
483	10434	11123
484	10459	11106
485	10479	11083
486	10498	11059
487	10518	11036
488	10540	11014
489	10565	10997
490	10592	10980
491	10612	10957
492	10630	10932
493	10649	10908
494	10668	10883
495	10689	10861
496	10709	10838
497	10732	10818
498	10751	10794
499	10778	10778
500	10797	10754
501	10814	10728
502	10831	10702
503	10847	10675
504	10864	10648
505	10881	10622
506	10896	10595
507	10911	10568
508	10927	10540
509	10943	10513
510	10958	10486
511	10976	10461
512	10994	10437
513	11009	10409
514	11025	10382
515	11040	10356
516	11057	10330
517	11073	10303
518	11089	10277
519	11105	10250
520	11121	10225
521	11137	10198
522	11152	10172
523	11168	10145
524	11185	10120
525	11202	10094
526	11217	10068
527	11232	10041
528	11248	10015
529	11264	9988
530	11283	9965
531	11299	9939
532	11317	9915
533	11334	9891
534	11353	9868
535	11378	9849
536	11395	9825
537	11415	9802
538	11433	9779
539	11451	9755
540	11470	9731
541	11489	9708
542	11508	9685
543	11528	9663
544	11546	9639
545	11565	9616
546	11582	9592
547	11603	9570
548	11622	9547
549	11641	9524
550	11659	9501
551	11679	9478
552	11700	9457
553	11718	9433
554	11736	9410
555	11754	9386
556	11776	9366
557	11795	9343
558	11820	9325
559	11838	9301
560	11857	9279
561	11877	9256
562	11896	9233
563	11917	9213
564	11937	9190
565	11956	9168
566	11976	9145
567	11994	9122
568	12016	9101
569	12034	9078
570	12053	9055
571	12072	9033
572	12091	9010
573	12109	8987
574	12124	8961
575	12138	8935
576	12154	8910
577	12169	8884
578	12190	8863
579	12210	8841
580	12228	8819
581	12245	8795
582	12265	8773
583	12286	8751
584	12312	8734
585	12333	8713
586	12352	8691
587	12374	8670
588	12390	8646
589	12406	8621
590	12422	8597
591	12436	8571
592	12451	8545
593	12467	8521
594	12482	8496
595	12498	8471
596	12517	8449
597	12535	8426
598	12551	8402
599	12566	8377
600	12581	8352
601	12601	8331
602	12617	8307
603	12633	8282
604	12655	8262
605	12676	8241
606	12698	8221
607	12727	8206
608	12756	8189
609	12775	8167
610	12794	8145
611	12813	8123
612	12838	8105
613	12859	8084
614	12877	8061
615	12897	8039
616	12915	8017
617	12944	8001
618	12963	7979
619	12985	7958
620	13006	7937
621	13032	7920
622	13047	7895
623	13063	7871
624	13079	7847
625	13094	7823
626	13109	7798
627	13126	7775
628	13142	7751
629	13163	7731
630	13180	7707
631	13196	7683
632	13211	7659
633	13227	7635
634	13244	7613
635	13260	7589
636	13276	7565
637	13291	7541
638	13306	7517
639	13322	7493
640	13338	7470
641	13355	7447
642	13371	7424
643	13387	7400
644	13403	7377
645	13421	7354
646	13439	7332
647	13454	7308
648	13470	7285
649	13485	7261
650	13499	7237
651	13515	7213
652	13530	7189
653	13547	7167
654	13562	7143
655	13578	7120
656	13594	7097
657	13607	7072
658	13624	7049
659	13641	7027
660	13656	7003
661	13671	6980
662	13688	6957
663	13708	6936
664	13726	6915
665	13748	6894
666	13767	6873
667	13785	6851
668	13804	6830
669	13825	6809
670	13852	6791
671	13871	6770
672	13892	6750
673	13911	6728
674	13929	6706
675	13950	6686
676	13968	6664
677	13988	6643
678	14007	6622
679	14027	6600
680	14048	6580
681	14067	6559
682	14088	6538
683	14114	6520
684	14143	6503
685	14169	6485
686	14207	6473
687	14237	6456
688	14259	6436
689	14281	6416
690	14301	6395
691	14323	6375
692	14342	6353
693	14364	6333
694	14387	6314
695	14409	6293
696	14429	6272
697	14449	6251
698	14469	6230
699	14485	6207
700	14501	6185
701	14518	6163
702	14536	6141
703	14553	6119
704	14570	6097
705	14588	6075
706	14609	6054
707	14631	6034
708	14650	6012
709	14668	5991
710	14685	5969
711	14705	5948
712	14724	5926
713	14743	5905
714	14762	5884
715	14781	5862
716	14796	5840
717	14816	5819
718	14834	5797
719	14851	5775
720	14870	5754
721	14887	5732
722	14903	5709
723	14919	5687
724	14937	5665
725	14955	5644
726	14973	5622
727	15001	5604
728	15033	5588
729	15062	5570
730	15087	5552
731	15108	5531
732	15130	5511
733	15155	5492
734	15180	5473
735	15199	5451
736	15218	5430
737	15239	5410
738	15264	5390
739	15285	5370
740	15305	5349
741	15328	5329
742	15343	5307
743	15363	5286
744	15379	5264
745	15393	5241
746	15410	5219
747	15427	5197
748	15444	5175
749	15460	5153
750	15475	5131
751	15490	5108
752	15505	5086
753	15519	5063
754	15535	5041
755	15550	5019
756	15568	4997
757	15583	4975
758	15597	4952
759	15613	4930
760	15628	4908
761	15644	4886
762	15663	4865
763	15680	4843
764	15695	4821
765	15710	4799
766	15726	4777
767	15741	4755
768	15757	4733
769	15774	4711
770	15790	4689
771	15806	4668
772	15840	4651
773	15867	4633
774	15902	4616
775	15935	4600
776	15973	4584
777	15995	4564
778	16024	4546
779	16064	4530
780	16101	4515
781	16119	4493
782	16138	4472
783	16163	4453
784	16192	4434
785	16224	4417
786	16258	4400
787	16294	4383
788	16323	4365
789	16354	4347
790	16374	4326
791	16397	4306
792	16427	4288
793	16458	4270
794	16485	4250
795	16509	4231
796	16548	4215
797	16575	4195
798	16642	4186
799	16669	4167
800	16699	4148
801	16725	4129
802	16762	4112
803	16792	4093
804	16825	4075
805	16857	4057
806	16884	4038
807	16907	4017
808	16934	3998
809	16955	3977
810	16979	3956
811	16997	3935
812	17016	3913
813	17035	3892
814	17061	3872
815	17081	3851
816	17119	3834
817	17164	3819
818	17186	3798
819	17206	3776
820	17225	3755
821	17245	3734
822	17264	3713
823	17283	3691
824	17317	3673
825	17342	3653
826	17385	3636
827	17414	3617
828	17440	3597
829	17463	3576
830	17482	3555
831	17502	3534
832	17529	3514
833	17550	3493
834	17570	3472
835	17591	3450
836	17609	3429
837	17628	3407
838	17652	3387
839	17677	3367
840	17696	3345
841	17715	3324
842	17737	3303
843	17752	3281
844	17768	3259
845	17784	3237
846	17799	3215
847	17815	3193
848	17830	3171
849	17845	3149
850	17861	3127
851	17876	3105
852	17891	3083
853	17907	3061
854	17923	3039
855	17941	3018
856	17957	2996
857	17972	2974
858	17987	2952
859	18002	2930
860	18017	2908
861	18033	2886
862	18049	2865
863	18064	2843
864	18081	2822
865	18097	2800
866	18112	2778
867	18128	2756
868	18144	2735
869	18160	2713
870	18176	2691
871	18191	2670
872	18206	2648
873	18221	2626
874	18237	2605
875	18252	2583
876	18267	2562
877	18282	2540
878	18297	2518
879	18311	2497
880	18332	2476
881	18346	2454
882	18361	2432
883	18377	2411
884	18392	2390
885	18411	2368
886	18430	2347
887	18449	2326
888	18469	2306
889	18489	2285
890	18508	2264
891	18528	2243
892	18547	2222
893	18566	2201
894	18585	2180
895	18604	2159
896	18623	2138
897	18643	2117
898	18663	2096
899	18682	2075
900	18700	2054
901	18718	2033
902	18740	2013
903	18761	1992
904	18780	1971
905	18798	1950
906	18816	1929
907	18835	1908
908	18854	1887
909	18873	1866
910	18893	1845
911	18912	1824
912	18931	1803
913	18949	1782
914	18968	1762
915	18986	1741
916	19005	1720
917	19025	1699
918	19044	1678
919	19063	1657
920	19083	1636
921	19103	1616
922	19122	1595
923	19146	1574
924	19164	1553
925	19182	1532
926	19201	1512
927	19219	1491
928	19234	1470
929	19250	1448
930	19265	1427
931	19282	1406
932	19296	1385
933	19311	1364
934	19327	1343
935	19344	1322
936	19361	1301
937	19376	1280
938	19392	1259
939	19408	1238
940	19423	1217
941	19438	1196
942	19454	1175
943	19468	1154
944	19482	1133
945	19498	1113
946	19514	1092
947	19530	1071
948	19548	1050
949	19563	1029
950	19578	1008
951	19594	987
952	19610	967
953	19626	946
954	19641	925
955	19657	904
956	19672	883
957	19688	863
958	19704	842
959	19719	821
960	19740	801
961	19761	780
962	19786	760
963	19809	739
964	19829	719
965	19852	698
966	19871	678
967	19891	657
968	19910	636
969	19931	616
970	19954	595
971	19973	575
972	19992	554
973	20014	534
974	20033	513
975	20052	493
976	20073	472
977	20091	451
978	20115	431
979	20130	410
980	20144	390
981	20159	369
982	20174	348
983	20189	328
984	20205	307
985	20220	287
986	20235	266
987	20251	245
988	20276	225
989	20293	204
990	20307	184
991	20322	163
992	20341	143
993	20357	122
994	20372	102
995	20388	81
996	20403	61
997	20419	40
998	20434	20
999	20449	0
